Las Vegas Precinct No.

E. K. "Eb" Edwards (Cont'd)	l4	1

15	0

16	2

17	0

18	0

19	1

20	0

21	0

22	2

23	1

24	1

25	4

26	1

27	0

28	3

29	3

30	2

31	1

32	0

33	1

34	0

35	4

36	2

37	A	2

37B	2

38	2

39	1

40A	2

40B	0

41	1

42	4

43	9

TOTAL	65

EMIL GUY	1	4

2	2

3	3

4	3

5	5

6	2

7	6

8	2

9	1

10	6

11A	6

11B	2

12A	2

12B	2

13A	9

13B	5

14	4

15	3

16	2

17	3

18	5

19	0

20	2

21	0

22	6

23	4

24	4

25	5

26	3

27	0

28	9

29	12

30	2

31	6

32	4

33	3

34	2

35	13

36	4

37	A	5

37B	3

38	9

39	13

40A	4

40B	1

41	8

42	5

43	3

TOTAL	207

WAITER J. RICHARDS	1	34

2	38

3	41

4	44

5	28

6	65

7	49

8	53

9	63

10	61
