FOR CITY ATTORNEY

las Vegas Precinct No.

HOWARD W. CANNON	1	81

2	82

3	109

4	124

5	97

6	172

7	142

8	146

9	133

10	154

11A	67

11B	49

12A	140

12B	93

13A	127

13B	63

14	161

15	176

16	184

17	196

18	204

19	112

20	107

21	124

22	117

23	116

24	45

25	143

26	181

27	170

28	170

29	236

30	97

31	157

32	106

33	171

34	184

35	221

36	99

37A	125

37B	99

38	191

39	113

40A	133

40B	123

41	150

42	133

43	109

TOTAL	6522	

FOR MUNICIPAL JUDGE

Las Vegas Precinct No.

JACK BEJOSA	1	8

2	8

3	11

4	12

5	6

6	12

7	11

8	9

9	10

10	16

11A	11

11B	5

12A	4

12B	3

13A	15

13B	4

14	23

15	15

16	17

17	11

18	22

19	7

20	10

21	19

22	7

23	17

24	11

25	17

26	20

27	14

28	20

29	22

30	16

31	11

32	21

33	11
