Las Vegas Precinct No.

Harris P. Sharp (Cont'd)	12A	101

12B	54

13A	81

13B	47

l4	93

15	120

16	92

17	140

18	131

19	63

20	55

21	71

22	52

23	20

24	62

25	87

26	106
27  	124

28	112

29	120

30	18

31	64

32	18

33	111

34	116

35	124

36	34

37A	83

37B	75

38	105

39	49

40A	81

40B	83

41	114

42	92

43	66

TOTAL	3615

JOHN L. SIMMONS	1	3

2	0

3	0

4	2

5	1

6	1

7	0

8	2

9	14

10	6

11A	11

11B	4

12A	3

12B	1

13A	2

13B	1

14	0

15	1

16	3

17	2

18	1

19	0

20	5

21	1

22	1

23	36

24	3

25	2

26	3

27	0

28	2

29	5

30	28

31	3

32	25

33	0

34	5

35	6

36	0

37A	3

37B	2

38	3

39	1

40A	0

40B	1

41	i

42	0

43	1

TOTAL	195
