Las Vegas Precinct No.

Jack Bejosa (Cont'd)	34	4

35	28

36	6

37A	5

37B	6

38	21

39	9

40A	21

40B	31

4l	18

42	6

43	21

TOTAL	632

A. G. "GUS" BLAD	1	26

2	32

3	37

4	44

5	43

6	47

7	43

8	54

9	46

10	55

11A	11

11B	8

12A	39

12B	25

13A	44

13B	21

14	37

15	31

16	57

17	45

18	59

19	27

20	61

21	39

22	4l

23	8

24	43

25	45

26	54

27	48

28	63

29	61

30	6

31	56

32	15

33	44

34	71

35	57

36	37

37A	26

37B	33

38	73

39	36

40A	28

40B	15

41	34

42	36

43	22

TOTAL	1883

GLEN E. "BUD" BODELL	1	17

2	13

3	12

4	11

5	17

6	28

7	18

8	21

9	19

10	16

11A	7

11B	6

12A	22

12B	8

13A	10

13B	5

14	26

15	22

16	24

17	17

18	31

19	13

20	8

21	20
