Votes	COMMISSIONER II

Cast___________Precinct___________Bunker     Kostelac_______Shepp

33	7	19	5	7

54	8	29	9	15

89	9	51	16	9

90	10	55	20	11

62	11-A	31	10	10

60	11-B	35	5	9

115	12	80	21	6

123	13	82	28	11

63	l4	40	13	10

l42	15	113	17	9

79	16	46	21	8

137	17	99	22	17

112	18	81	19	9

70	19	44	13	10

82	20	42	22	11

68	21	31	28	8

32	22	22	6	4

89	23-A	60	9	10

87	23-B	45	18	13

94	24	61	19	12

74	25	50	17	5

161	26	114	30	15

105	27	70	18	16

120	28	77	28	11

110	29	77	17	12

80	30-A	51	9	11

65	30-B	44	6	6

74	31	49	20	5

118	32	79	5	l4

168	33	116	34	15

128	34	85	7	18

90	35	51	25	12

71	36	44	18	6

105	37	70	25	8

l42	38	91	30	20

113	39	80	16	16

100	40	67	26	3

118	41	79	23	13

102	42	65	25	10

101	43	77	13	7

190	44	137	30	20

126	45	72	34	15

44	46	28	11	3

115	47	77	24	8

125	48	89	23	10

117	49	65	26	20

81	50	48	25	8

23	51	10	5	6

85	52	48	26	6

92	53	58	27	7

60	54	37	17	5

63	55	48	10	5

55	56	31	l4	7

71	57	53	9	7

80	58-A	43	19	l4

54	58-B	41	9	4

71	59	47	16	6

97	60-A	60	13	10

58	60-B	45	4	5

91	61	62	15	9

ll4	62	58	39	13

98	63	72	18	6

52	64	32	11	7

54	65	33	10	10

28	66	15	11	2

29	67	15	10	4

34	68	17	11	5

131	69	68	54	3

84	70	55	23	4

62	71	40	8	8

57	72	39	11	7

55	73	41	8	5

56	74	37	2	11

58	75	39	13	4

TOTAL

6,845	COUNT	4,400	1,385	749

FOR COMMISSIONER 4th CLASS

REX A. JARRETT	LOUIS P. MAYNARD HARRIS P. SHARP

Votes	COMMISSIONER IV

Cast___________Precinct__________Jarrett Maynard_____________Sharp

31	1	l4	2	l4

44	2	21	11	12

60	3	32	10	18

83	4	42	10	31

59	5	26	5	28

130	6	45	49	35

33	7	15	6	12

54	8	23	7	22

89	9	37	15	28

90	10	35	20	35

62	11-A	21	8	20

60	11-B	25	6	19

115	12	42	13	60
