Votes	COMMISSIONER IV

Cast___________Precinct__________Jarrett Maynard____________Sharp

123	13	31	32	58

63	l4	22	8	33

l42	15	49	20	73

79	16	4l	10	27

137	17	65	17	56

112	18	38	16	57

70	19	32	8	30

82	20	38	l4	28

68	21	27	19	22

32	22	21	5	6

89	23-A	37	9	28

87	23-B	28	16	29

94	24	40	25	29

74	25	29	l4	29

161	26	69	22	70

105	27	35	15	53

120	28	38	24	54

110	29	53	12	45

80	30-A	27	6	31

65	30-B	27	5	27

74	31	38	8	27

118	32	33	12	49

168	33	53	22	93

128	34	52	15	45

90	35	39	13	37

71	36	34	9	28

105	37	33	12	55

142	38	53	22	35

113	39	39	27	46

100	40	48	6	45

118	41	31	18	68

102	42	42	13	47

101	43	39	17	44

190	44	84	22	83

126	45	62	19	44

44	46	22	7	15

115	47	47	18	15

125	48	50	21	54

117	49	48	16	51

81	50	24	20	37

23	51	8	9	6

85	52	27	23	35

92	53	21	27	44

60	54	22	17	21

63	55	32	12	18

55	56	28	6	19

71	57	30	11	29

80	58-A	21	19	39

54	58-B	18	5	30

71	59	27	12	29

97	60-A	39	13	26

58	60-B	24	3	21

91	61	38	22	30

114	62	41	28	43

98	63	30	20	48

52	64	8	5	39

54	65	29	6	16

28	66	12	1	l4

29	67	10	5	l4

34	68	17	10	6

131	69	41	25	65

84	70	34	17	33

62	71	21	8	27

57	72	24	9	24

55	73	25	7	23

56	74	15	3	35

58	75	18	13	27



6,845	COUNT___________2,656________1,112	2,828

FOR CITY ATTORNEY
HOWARD W. CANNON
FOR MUNICIPAL JUDGE

S. GEORGE GILSON LOUIS LICKER WALTER J. RICHARDS WM. G. RUYMANN
Votes	CITY ATTY :	JUDGE

Cast_______Precinct_________Cannon______:_____Gilson___________Licker_______Richards_______Ruymann

31	1	22	7	1	17	5

44	2	34	13	2	16	13

60	3	49	19	1	30	10

83	4	74	23	9	40	11

59	5	50	25	3	25	6

130	6	118	33	13	63	20

33	7	24	17	1	12	3

54	8	47	11	1	27	15

89	9	73	28	8	48	b

90	10	78	27	3	41	19

62	ll-A	37	9	b	42	3

60	11-B	42	10	1	39	1

115	12	97	47	1	35	3b

123	13	99	50	7	42	23

63	l4	50	25	4	21	13

142	15	120	75	0	47	19

79	16	67	28	3	42	6

137	17	115	52	8	54	27
