5	15

6	28

7	30

8	35

9	18

10	18

11	17

12	62

13	22

14	38

15	51

16	29

17	50

18	40

19	31	

20	36 

21	35

22	21

23	35

24	18

25	19

26	38

27	43

28	29

29	40

30	41

31	15

32	45

33	36

34	26

35	24

36	19

37	21

38	25

39	13

TOTAL	1167

FOR MUNICIPAL JUDGE
Las Vegas Precinct

A. G. Blad	#1	60

2	75

3	79

4	86

5	78

6	73

7	97

8	89

9	 72

10	58

11	47

12	117

13	90

14	87

15	94

16	72

17	79

18	107

19	65

20	81

21	95	

22	47

23	41

24	61

25	67

26	59

27	98

28	70

29	78

30	26

31	80

32	33

33	68

34	91

35	58

36	51

37	58

38	62

39	27

TOTAL	2776

Las Vegas Precinct

Walter J. Richards	#1	49

 2	63

3	44

4	65

5	48

  6	106
