Las Vegas Precinct

Rex A. Jarrett	#1	25

2	43

3	29

4	34

 5	29

6	62

7	56

8	45

9	30

10	37

11	35

12	50

13	60

14	54

15	44

16	34

17	50

18	44

19	28

20	29

21	64

22	36

23	21

24	29

25	32

26	37

27	46

28	41

29	59

30	13

31	43

32	9

33	44

34	38

35	38

36	28

37	22

38	37

39	11

TOTAL	1466

Las Vegas Precinct

Robert T. Moore	#1	20

2	20

3	26

4	21

5	24

6	24

7	27

8	30

    9	63

10	33

11	35

12	37

13	38

14	16

15	27

16	18

17	15

18	41

19	22

20	24

21	27

22	13

23	24

24	21

25	21

26	12

27	28

28	21

29	25

30	22

31	19

32	25

33	16

34	36

35	13

36	17

37	46

38	12

39	12

TOTAL	971
