Las Vegas Precinct

Charles W. Pipkin	#1	10

2	6

3	14

4	6

     5		15

6	12

7	11

8	13

9	14

10	9

11	7

12	10

13	6

14	5

15	4

16	6

17	8

18	9

19	5

20	7

21	15

22	3

23	10

24	10

25	4

26	14

27	10

28	6

29	8

30	9

31	12

32	9

33	6

34	6

35	16

36	8

37	4

38	1

39	9

TOTAL	337

Las	Vegas	Precinct

Mel D. Schroeder	#1	2

2	1

3	1

4	2

5	2

6	3

7	2

8	3

9	0

10	2

11	0

12	19

13	2

14	4

15	1

16	6

17	8

18	10

19		3

20	2

21	8

22	2

23	2

24	2

25	4

26	6

27	7

28	1

29	5

30	0

31	 6

32	1

33	7

34	1

35	3

36	1

37	6

38	1

39	S

TOTAL	141

Las	Vegas	Precinct

Jerry Woodbury	#1	16

2	29

3	18

4	37
