7	78

8	71

9	87

10	91

11	99

12	131

13	93

14	80

15	74

16	64

17	99

18	92

19	60

20	51

21	121

22	69

23	108

24	48

25	64

26	89

27	93

28	83

29	102

30	71

31	68

32	19

33	85

34	  66

35	118

36	57

37	71

38	52

39	31

TOTAL	3027

FOR CITY ATTORNEY
Las Vegas Precinct

Howard W. Cannon	#1	80

2	100

3	96

4	120

5	86

6	136

7	133

8	117

9	127

10	118

11	99

12	192

13	153

14	136

15	125

16	111

17	134

18	165

19	105

20	94

21	170

22	94

23	81

24	89

25	104

26	116

27	158

28	125

29	160

30	67

31	120

32	83

33	130

34	12 5

35	157

36	80

37	93

38	91

39	48

TOTAL	4518

There being no further business to come before the meeting at this time,
the meeting adjourned.	

ATTEST:		APPROVED:	

	City Clerk		Mayor

