Las Vegas Precinct No.

Sally Murphy (Cont’d)	21	10

22	21

23	43

24	22

25	16

26	21

27	11

28	14

29	27

30	24

31	21

32	48

33	16

34	27

35	47

36	14

37A	6

37	B	7

38	37

39	29

40A	8

40B	5

41	9

42	21

43	7

TOTAL	951

WILLIAM "BILL" PECCOLE	1	33

2	17

3	37

4	26

5	21

6	47

7	51

8	47

9	39

10	29

11A	13

11B	17

12A	44

12B	19

13A	27

13B	22

l4	46

15	60

16	40

17	35

18	60

19	35

20	29

21	39

22	34

23	44

24	26

25	37

26	45

27	33

28	40

29	62

30	51

31	53

32	38

33	35

34	45

35	49

36	26

37A	38

37B	34

38	38

39	26

40A	39

40B	33

41	24

42	21

43	42

TOTAL	1746

HARRIS P. SHARP	1	29

2	48

3	57

4	66

5	54

6	98

7	75

8	68

9	30

10	87

11A	24

11B	15
