SCHEDULE I (cont'd)

Range No.	Step I	Step II	Step III	Step IV	Step V

15	$	236	$247	$	258	$	269	$ 282

16	247	258	269	282	295

17	258	269	282	295	308

18	269	282	295	308	323

19	282	295	308	323	338

20	295	308	323	338	353

21	308	323	338	353	370

22	323	338	353	370	388

23	338	353	370	388	407

24	353	370	388	407	427

25	370	388	407	427	447

26	388	407	427	447	468

27	407	427	447	468	489

28	427	447	468	489	513

29	447	468	489	513	537

30	468	489	513	537	563

31	489	513	537	563	591

32	513	537	563	591	620

33	537	563	591	620	650

34	563	591	620	650	682

35	591	620	650	682	715

36	620	650	682	715	750

37	650	682	715	750	787

38	682	715	750	787	825

39	715	750	787	825	867

40	750	787	825	867	910

41	787	825	867	910	955

42	825	867	910	955	1,093

43	867	910	955	1,093	1,053

44	910	955	1,003	1,053	1,105

45	955	1,003	1,053	1,105	1,159

46	1,003	1,053	1,105	1,159	1,216

BE IT FURTHER RESOLVED, that the following schedule of hourly pay rates
to be known as Schedule 1A, applicable to hourly paid employees, be and the
same is hereby adopted:

SCHEDULE IA

Monthly	Hourly Rate	Hourly Rate Hourly Rate

Rate	40Hr. Wk	48 Hr. Wk 72Hr. Wk

$	126	.79	.66	.44

132	.83	.69	.46

138	.87	.72	.48

145	.91	.76	.51

152	.96	.79	.53

158	1.00	.83	.55

165	1.04	.86	.57

172	1.08	.90	.60

180	1.13	.94	.63

188	1.18	.98	.66

197	1.24	1.03	.69

206	1.30	1.08	.72

215	1.36	1.12	.75

225	1.42	1.18	.78

236	1.49	1.23	.82

247	1.56	1.29	.86

258	1.63	1.35	.90

269	1.70	1.41	.94

282	1.78	1.47	.98

295	1.86	1.54	1.03

308	1.94	1.61	1.07

323	2.04	1.69	1.13

338	2.13	1.77	1.18

353	2.22	1.84	1.23

370	2.33	1.93	1.29

388	2.45	2.03	1.35

407	2.57	2.13	1.42

427	2.69	2.23	1.49

447	2.82	2.34	1.56

468	2.95	2.45	1.63

489	3.08	2.56	1.70

513	3.23	2.68	1.79

537	3.38	2.81	1.87

563	3.55	2.94	1.96

591	3.72	3.09	2.06

620	3.91	3.09	2.16

650	4.10	3.40	2.26

682	4.30	3.56	2.38

715	4.51	3.75	2.49

750	4.73	3.92	2.61

787	4.96	4.11	2.74

825	5.20	4.31	2.87

867	5.46	4.53	3.02

910	5.74	4.76	3.17

955	6.02	4.99	3.33

1,033	6.32	5.24	3.49

1,053	6.64	5.50	3.67

1,105	6.96	5.78	3.85

1,159	7.30	6.06	4.04

1,216	7.66	6.36	4.24

7-2-58
